[ 2024-12-30 20:09:10,917 ] 18 root - INFO - Initiate the data ingestion
[ 2024-12-30 20:09:15,014 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-30 20:09:15,014 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-30 20:09:15,014 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-30 20:09:15,034 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-30 20:09:15,034 ] 20 root - INFO - Data Initiation Completed
[ 2024-12-30 20:09:15,036 ] 24 root - INFO - Initiate the data Validation
[ 2024-12-30 20:09:15,045 ] 32 root - INFO - Required number of columns:2
[ 2024-12-30 20:09:15,045 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-30 20:09:15,045 ] 32 root - INFO - Required number of columns:2
[ 2024-12-30 20:09:15,045 ] 33 root - INFO - Data frame has columns:31
[ 2024-12-30 20:09:15,117 ] 26 root - INFO - data Validation Completed
